game_id,game_date,home_team_id,away_team_id,home_team,away_team,home_score,away_score
2025020001,,13,16,FLA,CHI,3,2
2025020002,,3,5,NYR,PIT,0,3
2025020003,,26,21,LAK,COL,1,4
2025020004,,10,8,TOR,MTL,5,2
2025020005,,15,6,WSH,BOS,1,3
2025020006,,22,20,EDM,CGY,3,4
2025020007,,54,26,VGK,LAK,5,6
2025020008,,6,16,BOS,CHI,4,3
2025020009,,7,3,BUF,NYR,0,4
2025020010,,17,8,DET,MTL,1,5
2025020011,,14,9,TBL,OTT,4,5
2025020012,,13,4,FLA,PHI,2,1
2025020013,,5,2,PIT,NYI,4,3
2025020014,,12,1,CAR,NJD,6,3
2025020015,,19,30,STL,MIN,0,5
2025020016,,18,29,NSH,CBJ,2,1
2025020017,,52,25,WPG,DAL,4,5
2025020018,,21,68,COL,UTA,2,1
2025020019,,23,20,VAN,CGY,5,1
2025020020,,28,54,SJS,VGK,3,4
2025020021,,55,24,SEA,ANA,3,1
2025020022,,52,26,WPG,LAK,3,2
2025020023,,20,19,CGY,STL,2,4
2025020024,,6,7,BOS,BUF,3,1
2025020025,,17,10,DET,TOR,6,3
2025020026,,14,1,TBL,NJD,3,5
2025020027,,13,9,FLA,OTT,6,2
2025020028,,2,15,NYI,WSH,2,4
2025020029,,5,3,PIT,NYR,1,6
2025020030,,12,4,CAR,PHI,4,3
2025020031,,16,8,CHI,MTL,2,3
2025020032,,18,68,NSH,UTA,2,3
2025020033,,30,29,MIN,CBJ,4,7
2025020034,,21,25,COL,DAL,4,5
2025020035,,22,23,EDM,VAN,3,1
2025020036,,28,24,SJS,ANA,6,7
2025020037,,55,54,SEA,VGK,2,1
2025020038,,3,15,NYR,WSH,0,1
2025020039,,7,21,BUF,COL,1,3
2025020040,,6,14,BOS,TBL,3,4
2025020041,,9,18,OTT,NSH,1,4
2025020042,,2,52,NYI,WPG,2,5
2025020043,,10,17,TOR,DET,2,3
2025020044,,4,13,PHI,FLA,5,2
2025020045,,29,1,CBJ,NJD,2,3
2025020046,,23,19,VAN,STL,2,5
2025020047,,30,26,MIN,LAK,4,3
2025020048,,16,68,CHI,UTA,3,1
2025020049,,10,18,TOR,NSH,7,4
2025020050,,8,55,MTL,SEA,5,4
2025020051,,3,22,NYR,EDM,0,2
2025020052,,15,14,WSH,TBL,3,2
2025020053,,20,54,CGY,VGK,2,4
2025020054,,25,30,DAL,MIN,5,2
2025020055,,28,12,SJS,CAR,1,5
2025020056,,24,5,ANA,PIT,4,3
2025020057,,7,9,BUF,OTT,8,4
2025020058,,17,13,DET,FLA,4,1
2025020059,,19,16,STL,CHI,3,8
2025020060,,68,20,UTA,CGY,3,1
2025020061,,10,3,TOR,NYR,2,1
2025020062,,8,18,MTL,NSH,3,2
2025020063,,9,55,OTT,SEA,4,3
2025020064,,1,13,NJD,FLA,3,1
2025020065,,2,22,NYI,EDM,4,2
2025020066,,4,52,PHI,WPG,2,5
2025020067,,29,21,CBJ,COL,1,4
2025020068,,25,23,DAL,VAN,3,5
2025020069,,54,6,VGK,BOS,6,5
2025020070,,24,12,ANA,CAR,1,4
2025020071,,26,5,LAK,PIT,2,4
2025020072,,17,14,DET,TBL,2,1
2025020073,,15,30,WSH,MIN,5,1
2025020074,,16,23,CHI,VAN,2,3
2025020075,,68,28,UTA,SJS,6,3
2025020076,,7,13,BUF,FLA,3,0
2025020077,,9,2,OTT,NYI,4,5
2025020078,,1,22,NJD,EDM,5,3
2025020079,,10,55,TOR,SEA,3,4
2025020080,,8,3,MTL,NYR,3,4
2025020081,,4,30,PHI,MIN,2,1
2025020082,,29,14,CBJ,TBL,3,2
2025020083,,19,25,STL,DAL,3,1
2025020084,,52,18,WPG,NSH,4,1
2025020085,,21,6,COL,BOS,4,1
2025020086,,26,12,LAK,CAR,3,4
2025020087,,54,20,VGK,CGY,6,1
2025020088,,28,5,SJS,PIT,0,3
2025020089,,15,23,WSH,VAN,3,4
2025020090,,17,22,DET,EDM,4,2
2025020091,,16,24,CHI,ANA,2,1
2025020092,,68,6,UTA,BOS,3,2
2025020093,,3,30,NYR,MIN,1,3
2025020094,,4,55,PHI,SEA,5,2
2025020095,,8,7,MTL,BUF,4,2
2025020096,,20,52,CGY,WPG,1,2
2025020097,,54,12,VGK,CAR,4,1
2025020098,,10,1,TOR,NJD,2,5
2025020099,,9,22,OTT,EDM,2,3
2025020100,,2,28,NYI,SJS,4,3
2025020101,,5,23,PIT,VAN,5,1
2025020102,,15,55,WSH,SEA,4,1
2025020103,,6,13,BOS,FLA,3,4
2025020104,,19,26,STL,LAK,1,2
2025020105,,18,24,NSH,ANA,2,5
2025020106,,25,29,DAL,CBJ,1,5
2025020107,,68,21,UTA,COL,4,3
2025020108,,1,30,NJD,MIN,4,1
2025020109,,7,17,BUF,DET,4,2
2025020110,,20,8,CGY,MTL,1,2
2025020111,,6,24,BOS,ANA,5,7
2025020112,,9,4,OTT,PHI,2,1
2025020113,,14,16,TBL,CHI,2,3
2025020114,,13,5,FLA,PIT,3,5
2025020115,,2,17,NYI,DET,7,2
2025020116,,3,28,NYR,SJS,5,6
2025020117,,19,68,STL,UTA,4,7
2025020118,,18,23,NSH,VAN,2,1
2025020119,,25,26,DAL,LAK,2,3
2025020120,,52,55,WPG,SEA,0,3
2025020121,,21,12,COL,CAR,4,5
2025020122,,22,8,EDM,MTL,6,5
2025020123,,7,10,BUF,TOR,5,3
2025020124,,1,28,NJD,SJS,3,1
2025020125,,29,15,CBJ,WSH,1,5
